epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,673.781,1.0825,0.65852,1.13723,0.98576,0.97674,0.99224,0.69763,1.13024,0.53314,1.1259,6.87222e-05,6.87222e-05,6.87222e-05
40,689.778,1.07483,0.65806,1.12175,0.97571,0.98062,0.993,0.66664,1.23243,0.55925,1.16412,6.72675e-05,6.72675e-05,6.72675e-05
41,706.109,1.07397,0.68617,1.1251,0.97523,0.98062,0.99246,0.67019,1.17919,0.55177,1.145,6.57963e-05,6.57963e-05,6.57963e-05
42,722.148,1.06835,0.64763,1.10534,0.97001,0.9845,0.99258,0.68345,1.15293,0.54895,1.13772,6.43101e-05,6.43101e-05,6.43101e-05
43,738.147,1.08706,0.659,1.13251,0.973,0.97767,0.99099,0.6825,1.16976,0.54395,1.1395,6.28101e-05,6.28101e-05,6.28101e-05
44,756.916,1.10756,0.65546,1.15119,0.97609,0.9845,0.99236,0.67007,1.20656,0.54409,1.15998,6.12981e-05,6.12981e-05,6.12981e-05
45,775.97,1.08575,0.66147,1.1383,0.97315,0.98349,0.9931,0.68465,1.17041,0.54594,1.14454,5.97754e-05,5.97754e-05,5.97754e-05
46,794.803,1.07189,0.64397,1.12726,0.96557,0.97823,0.99218,0.6875,1.15204,0.55429,1.13576,5.82435e-05,5.82435e-05,5.82435e-05
47,813.853,1.06477,0.63349,1.1107,0.98094,0.97287,0.99268,0.66453,1.21012,0.54011,1.15797,5.6704e-05,5.6704e-05,5.6704e-05
48,832.87,1.06032,0.64369,1.117,0.97316,0.9839,0.99186,0.70771,1.0907,0.54789,1.11825,5.51584e-05,5.51584e-05,5.51584e-05
49,851.976,1.04649,0.65134,1.112,0.97692,0.98443,0.99242,0.64611,1.26971,0.55531,1.17778,5.36081e-05,5.36081e-05,5.36081e-05
50,870.76,1.04376,0.64703,1.1205,0.98437,0.97674,0.99241,0.70012,1.10761,0.53369,1.11936,5.20548e-05,5.20548e-05,5.20548e-05
51,889.454,1.08702,0.64794,1.12954,0.97874,0.97287,0.99211,0.68355,1.15496,0.54538,1.13028,5.05e-05,5.05e-05,5.05e-05
52,908.652,1.03427,0.63047,1.10718,0.97415,0.9845,0.99288,0.68285,1.17171,0.53545,1.1352,4.89452e-05,4.89452e-05,4.89452e-05
53,928.162,1.04665,0.64064,1.11971,0.96938,0.98168,0.99301,0.69583,1.12184,0.53197,1.11866,4.73919e-05,4.73919e-05,4.73919e-05
54,947.184,1.03085,0.61775,1.11829,0.97685,0.98133,0.99307,0.67225,1.19119,0.53507,1.14499,4.58416e-05,4.58416e-05,4.58416e-05
55,966.197,1.0365,0.63016,1.11123,0.98442,0.97944,0.99297,0.69271,1.13396,0.52841,1.12263,4.4296e-05,4.4296e-05,4.4296e-05
56,985.327,1.03743,0.64145,1.11099,0.98055,0.9769,0.99269,0.68298,1.15406,0.53441,1.12702,4.27565e-05,4.27565e-05,4.27565e-05
57,1004.46,1.05589,0.63991,1.12503,0.973,0.97759,0.9928,0.68508,1.15783,0.53285,1.13305,4.12246e-05,4.12246e-05,4.12246e-05
58,1023.27,1.03257,0.61163,1.11224,0.98534,0.97287,0.99275,0.68247,1.14484,0.52591,1.12884,3.97019e-05,3.97019e-05,3.97019e-05
59,1042.24,1.03961,0.62162,1.10326,0.98049,0.97383,0.99262,0.67971,1.17068,0.52514,1.13685,3.81899e-05,3.81899e-05,3.81899e-05
60,1058.36,1.04452,0.62245,1.11215,0.97302,0.97854,0.99273,0.67159,1.20376,0.53516,1.14681,3.66899e-05,3.66899e-05,3.66899e-05
61,1074.5,1.04281,0.63049,1.11298,0.98054,0.97659,0.99285,0.69685,1.11618,0.51878,1.11453,3.52037e-05,3.52037e-05,3.52037e-05
62,1090.66,1.03385,0.6113,1.11332,0.98053,0.97616,0.99237,0.67995,1.15616,0.5257,1.12854,3.37325e-05,3.37325e-05,3.37325e-05
63,1106.83,1.03908,0.62347,1.11332,0.97913,0.98062,0.99287,0.68437,1.13975,0.52042,1.12388,3.22778e-05,3.22778e-05,3.22778e-05
